weight_method,value_tier,churn_risk,cat_behavior,households,deep_events,full_events,visit_diff,visit_se,spend_diff,spend_se,visit_ci_low,visit_ci_high,spend_ci_low,spend_ci_high,performance_quadrant
Equal RFM,V4 Low engagement,false,C1 Stock-up risk,74,103,127,0.022072072072072103,0.14597881377704816,-12.704202702702711,7.6159312553196656,-0.26404640293094228,0.30819054707508653,-27.631427963129255,2.2230225577238336,Q2 More low-value visits
Equal RFM,V4 Low engagement,false,C2 New trial,1435,5940,17603,-0.076816756959530164,0.025793783213525864,-2.4511241181655157,1.0246544122492449,-0.12737257205804087,-0.026260941861019467,-4.459446766174036,-0.44280147015699578,Q4 Relationship weakened
Equal RFM,V4 Low engagement,false,C3 Regular-price repeat,211,315,1484,0.071661251630475958,0.10110506835225,4.7752349266048659,4.2605013072960558,-0.12650468233993403,0.26982718560088592,-3.5753476356954037,13.125817488905135,Q1 Relationship strengthened
Equal RFM,V4 Low engagement,false,C4 Promotion responsive,116,187,213,-0.037068965517241412,0.12814640523518406,3.1481760057471262,7.7903422732602063,-0.28823591977820218,0.21409798874371933,-12.120894849842877,18.41724686133713,Q3 Fewer high-value visits
Equal RFM,V4 Low engagement,false,C5 Low-frequency/irregular,1379,7307,21452,-0.050853532783497142,0.027305930930852346,-3.1415719266769324,1.0299560774154053,-0.10437315740796774,0.002666091840973453,-5.1602858384111272,-1.1228580149427381,Q4 Relationship weakened
Equal RFM,V4 Low engagement,true,C1 Stock-up risk,153,212,269,-0.15490196078431381,0.13425747936988139,-0.38556753812636207,6.6469134604180571,-0.41804662034928131,0.10824269878065371,-13.413517920545752,12.64238284429303,Q4 Relationship weakened
Equal RFM,V4 Low engagement,true,C2 New trial,1425,4870,14230,-0.0052110092464154288,0.029501875128266783,-1.9737240279265504,1.2641447592763446,-0.063034684497818322,0.052612666004987471,-4.4514477561081858,0.50399970025508511,Q4 Relationship weakened
Equal RFM,V4 Low engagement,true,C3 Regular-price repeat,313,500,2635,-0.12142354419918677,0.080247064627156736,-3.6595653943762323,4.4151297411050976,-0.27870779086841396,0.035860702470040418,-12.313219686942222,4.9940888981897587,Q4 Relationship weakened
Equal RFM,V4 Low engagement,true,C4 Promotion responsive,226,374,465,0.16228402865570996,0.13141612721604359,-0.85177739148757214,6.3856097618649983,-0.095291580687735467,0.41985963799915538,-13.367572524742968,11.664017741767825,Q2 More low-value visits
Equal RFM,V4 Low engagement,true,C5 Low-frequency/irregular,1542,9197,27515,-0.083305648431007476,0.024597786167607983,-3.3269262533353468,0.94266076322876158,-0.1315173093195191,-0.035093987542495833,-5.17454134926372,-1.4793111574069742,Q4 Relationship weakened
Spend weighted,V1 Core,false,C1 Stock-up risk,238,654,1756,-0.10398080639759681,0.14742378699419215,-11.117056506141848,7.7896605234117144,-0.39293142890621341,0.18496981611101976,-26.384791132028809,4.1506781197451126,Q4 Relationship weakened
Spend weighted,V1 Core,false,C2 New trial,400,1429,6271,0.015955643520524209,0.081932733047417147,-1.7173936137650627,3.8957954208887378,-0.14463251325241341,0.17654380029346181,-9.35315263870699,5.9183654111768629,Q2 More low-value visits
Spend weighted,V1 Core,false,C3 Regular-price repeat,409,2065,25576,-0.13507109061949257,0.077493447203485236,-6.067956919235832,3.3053469032839367,-0.28695824713832363,0.016816065899338484,-12.546436849672347,0.41052301120068346,Q4 Relationship weakened
Spend weighted,V1 Core,false,C4 Promotion responsive,250,719,1303,-0.14418814687279471,0.14436544323316139,-13.85183978398784,7.5274411741112566,-0.427144415609791,0.13876812186420159,-28.605624485245905,0.90194491727022275,Q4 Relationship weakened
Spend weighted,V1 Core,false,C5 Low-frequency/irregular,529,6669,27237,-0.067636960384411235,0.043016678603359795,-3.7552857134131248,2.1207776802774614,-0.15194965044699643,0.016675729678173962,-7.9120099667569495,0.40143853993069989,Q4 Relationship weakened
Spend weighted,V1 Core,true,C1 Stock-up risk,165,437,1022,-0.20510067335727167,0.17499074136168996,-1.0297689771269227,9.1597972768466622,-0.54808252642618394,0.13788117971164066,-18.982971639746381,16.923433685492533,Q4 Relationship weakened
Spend weighted,V1 Core,true,C2 New trial,227,695,2858,-0.0742073031346763,0.13384294459639912,-6.3046127660152012,5.5663535093657313,-0.33653947454361854,0.18812486827426597,-17.214665644372033,4.6054401123416318,Q4 Relationship weakened
Spend weighted,V1 Core,true,C3 Regular-price repeat,256,1201,15050,-0.23298431334137656,0.092804433324447572,-12.33064001645514,4.2000142685445727,-0.41488100265729377,-0.051087624025459327,-20.562667982802502,-4.0986120501077785,Q4 Relationship weakened
Spend weighted,V1 Core,true,C4 Promotion responsive,154,438,839,-0.11977923506762318,0.17651147545546966,-3.3091012168164515,10.0033687345731,-0.46574172696034372,0.22618325682509738,-22.915703936579725,16.297501502946822,Q4 Relationship weakened
Spend weighted,V1 Core,true,C5 Low-frequency/irregular,333,3557,15050,-0.052721363791634106,0.060459505189887332,-2.7835087579195026,2.9425817143377198,-0.17122199396381327,0.065779266380545071,-8.5509689180214323,2.983951402182428,Q4 Relationship weakened
Spend weighted,V2 Growth potential,false,C1 Stock-up risk,258,501,897,-0.14492552274700005,0.157110495222913,-7.8139646669513292,6.5842593003645717,-0.45286209338390954,0.16301104788990944,-20.719112895665891,5.0911835617632315,Q4 Relationship weakened
Spend weighted,V2 Growth potential,false,C2 New trial,762,2488,9174,-0.030032493254862722,0.055837217164510906,-2.7004450210308577,2.5990256880187341,-0.1394734388973041,0.079408452387578654,-7.7945353695475763,2.3936453274858613,Q4 Relationship weakened
Spend weighted,V2 Growth potential,false,C3 Regular-price repeat,588,1606,15338,-0.1549111871134623,0.077351386515609313,-6.41837026270398,3.412829259209587,-0.30651990468405654,-0.0033024695428680584,-13.107515610754771,0.27077508534681094,Q4 Relationship weakened
Spend weighted,V2 Growth potential,false,C4 Promotion responsive,303,590,902,-0.17182543345909679,0.13459061193968294,-8.639313450759,5.8941075750566405,-0.43562303286087534,0.091972165942681761,-20.191764297870016,2.9131373963520151,Q4 Relationship weakened
Spend weighted,V2 Growth potential,false,C5 Low-frequency/irregular,941,8472,31527,-0.095965428883205084,0.030913136686687742,-5.2513781810901108,1.2833951532303229,-0.15655517678911307,-0.035375680977297111,-7.766832681421544,-2.735923680758678,Q4 Relationship weakened
