category,n_pairs,qty_pct,net_now,t_net,net_pct,d_disc,elasticity,net_later,t_cann,p,significant_bh,net_total,verdict
POTATOES,339,17.12458232900685,-0.46977106147897474,-8.639940900178965,-14.854362913677917,27.664614800489584,0.6190067149860982,0.3262850513265829,2.009540953733089,5.624210719980764e-18,True,-0.46977106147897474,축소
HEAT/SERVE,109,16.65709432370887,-0.23513918459281755,-1.1375906474587705,-4.375421128410982,16.857990418057376,0.988083034254586,0.37718050345481285,0.9775966580771698,0.2552914537356673,False,-0.23513918459281755,불확실
DRY BN/VEG/POTATO/RICE,104,40.458586632163225,0.5256598211180227,3.1418107772398765,18.88699308744586,14.942178176379212,2.707676628841214,-0.8771191110523907,-3.34246205904813,0.0016790651079439877,True,-0.35145928993436804,축소
EGGS,565,17.36765658955125,-0.09513652238065505,-4.8936616614218424,-6.827757570238072,19.715468082305264,0.8809152548165372,-0.005181152185830352,-0.07307241691204448,9.897693907787254e-07,True,-0.09513652238065505,축소
BERRIES,347,15.36852637540177,-0.24235371338600495,-4.043787361884336,-6.603796208544001,17.397038657357903,0.8833989897988647,0.12215892166423341,0.5443251427174001,5.2594623070850405e-05,True,-0.24235371338600495,축소
CANDY - CHECKLANE,338,41.12798592105935,-0.029321910226585483,-0.7932074326839984,-2.418772615337531,22.890902423013227,1.7966956986244274,-0.01544085270981531,-0.1533794517164457,0.4276569777770257,False,-0.029321910226585483,불확실
LUNCHMEAT,647,35.61391259220754,0.4031141019236144,5.300924711065588,10.354128865099849,21.230897482491315,1.6774567642078062,0.13357549409446196,0.7965448617549412,1.1521759944387066e-07,True,0.4031141019236144,확대
SOUP,181,54.449069266901994,0.9090659932235533,5.077871837237938,25.14457663086941,20.484172135978717,2.658104457698186,-0.4381994443604569,-1.22310425915538,3.816860113940868e-07,True,0.9090659932235533,확대
ONIONS,160,3.5044242329571818,-0.4380629670792642,-9.3700440891772,-24.751178137994017,28.543435824359047,0.122775136620606,-0.09472869571679723,-0.7201984161394853,7.25022358756294e-21,True,-0.4380629670792642,축소
FRZN NOVELTIES/WTR ICE,145,22.563874426478506,0.19664834902638667,1.1590906282559703,4.720465114570346,12.072014551332765,1.8691059665751832,0.42173884674324313,0.8800176163433782,0.24641924553705197,False,0.19664834902638667,불확실
PEPPERS-ALL,123,29.502262932816226,-0.10610741921414876,-1.4790467690099942,-5.615251122355297,18.114876113821985,1.6286207395205676,-0.36151278530901954,-2.0706994326099273,0.13912781549021602,False,-0.4676202045231683,불확실
CITRUS,159,32.49659166638849,0.10359349369004003,0.8419224013939015,3.585565704512059,21.015162023497513,1.546340286601328,2.1670806139748344,5.761092556069633,0.39983139032907644,False,0.10359349369004003,불확실
CONVENIENT BRKFST/WHLSM SNACKS,326,25.396571881631765,0.171318078167191,1.8057318678947127,4.35892999826909,14.978654677685462,1.6955175500151196,-0.07718056810480214,-0.3124784020048655,0.07096023230780843,False,0.171318078167191,불확실
MUSHROOMS,119,11.47653939516384,-0.573616883184156,-8.081427850684042,-23.5961149248106,24.842638359780647,0.461969426473798,0.23367964024221854,1.0338983208825734,6.401279597235702e-16,True,-0.573616883184156,축소
