category,n_pairs,visit28_diff,t_visit,spend28_diff,t_spend,quadrant,visit28_ci_low,visit28_ci_high,spend28_ci_low,spend28_ci_high
ONIONS,147,0.2871915524453649,1.5356324066851683,-0.9998641664706168,-0.1185991938692409,Q2 방문증가·지출감소,-0.07936455847182194,0.6537476633625516,-17.523869957294735,15.524141624353502
BERRIES,363,0.0112667530036008,0.1031521001904847,-0.8705293233743308,-0.1650869128202947,Q2 방문증가·지출감소,-0.20281357930450092,0.22534708531170253,-11.205918390047428,9.464859743298765
DRY BN/VEG/POTATO/RICE,220,0.0010787795306905,0.0067307732615674,-13.482489443484624,-1.8502553583013437,Q2 방문증가·지출감소,-0.31306163167980333,0.3152191907411844,-27.76466903057166,0.7996901436024135
FRZN NOVELTIES/WTR ICE,308,0.343021675367384,2.269116608451744,-4.021199441236466,-0.598304405967637,Q2 방문증가·지출감소,0.046729064747073334,0.6393142859876946,-17.194344793687367,9.151945911214433
HEAT/SERVE,69,-0.1463058851489636,-0.5230187154046634,-11.507930728478968,-0.7642857465182586,Q4 약화,-0.6945836550373713,0.4019718847394441,-41.01985651091266,18.00399505395472
FRZN JCE CONC/DRNKS,20,-0.076845238095238,-0.1313265351578212,1.6966934523809385,0.068112110828704,Q3 방문감소·지출증가,-1.2237320152851139,1.0700415390946378,-47.12750427407081,50.52089117883269
DRY SAUCES/GRAVY,188,0.1349801681205855,0.7521272229464828,-0.3353208476954172,-0.0384531928251869,Q2 방문증가·지출감소,-0.21677033557734043,0.48673067181851143,-17.426979906303725,16.75633821091289
ISOTONIC DRINKS,83,0.4778245245837839,1.4037949448383191,12.668706999105142,0.9964968067321416,Q1 강화,-0.1893213941473033,1.144970443314871,-12.249251142350863,37.586665140561145
HAIR CARE PRODUCTS,92,-0.018740527155579,-0.0690850564682152,5.233595484622639,0.4698986793565003,Q3 방문감소·지출증가,-0.550424730697257,0.5129436763860988,-16.596317218915736,27.063508188161016
CHRISTMAS  SEASONAL,26,0.6926282051282052,1.2354712914525046,17.702195512820545,0.6952504267841781,Q1 강화,-0.4061842816073239,1.7914406918637344,-32.20256091518062,67.60695194082172
CRACKERS/MISC BKD FD,760,-0.185263633994232,-2.478762993558876,-11.845985169914837,-3.2462035254625596,Q4 약화,-0.33175473603676775,-0.03877253195169625,-18.998380499078515,-4.693589840751157
BAKED SWEET GOODS,341,-0.1064783759607804,-0.9156945010288474,-0.7161540957677276,-0.1169222436039148,Q4 약화,-0.3343902140777977,0.12143346215623689,-12.721243841220991,11.288935649685536
FITNESS&DIET,34,0.0381810949992767,0.1869786680632347,-13.92270979537538,-0.9354968014051436,Q2 방문증가·지출감소,-0.36205143940552365,0.438413629404077,-43.09278408953395,15.247364498783192
BAKING MIXES,386,0.1948925536633471,1.5935767259456182,7.720605472139903,1.416146580614701,Q1 강화,-0.04481313415252525,0.43459824147921944,-2.965002170838522,18.406213115118327
WAREHOUSE SNACKS,63,-0.1186384382812954,-0.3156601586883474,-10.56296063482373,-0.8798172377952634,Q4 약화,-0.8552893352382286,0.6180124586756378,-34.09444189579018,12.968520626142725
CANDY - PACKAGED,730,-0.0883906722944833,-1.0935388650224924,-0.7687892132345145,-0.2200111522389246,Q4 약화,-0.24681733936463254,0.07003599477566594,-7.617655021197222,6.080076594728193
COOKIES/CONES,541,0.1036055291141164,1.1282603203639627,4.695611367640916,1.1030502815060057,Q1 강화,-0.07637672622050472,0.2835877844487375,-3.6479777097406725,13.039200445022505
FD WRAPS/BAGS/TRSH BG,245,0.1243788825263617,0.9549373351986816,-4.615373156933264,-0.6985946409681939,Q2 방문증가·지출감소,-0.13090761719034294,0.37966538224306634,-17.56441521521761,8.333668901351086
MAKEUP AND TREATMENT,179,-0.1747644012262295,-0.9777534536016798,-16.883060303375366,-1.9883226908231504,Q4 약화,-0.5250963025267328,0.17556750007427374,-33.525629614353946,-0.24049099239678284
ORAL HYGIENE PRODUCTS,162,0.2004854473541678,1.0785838950871214,10.972284612016091,1.0350668154175744,Q1 강화,-0.16383621422824313,0.5648071089365787,-9.804806798141383,31.749376022173564
BREAKFAST SAUSAGE/SANDWICHES,369,-0.0203176066680206,-0.1817789533105701,-5.891631670700835,-1.106009196643103,Q4 약화,-0.2393886726196627,0.1987534592836215,-16.33241110510541,4.549147763703741
DINNER SAUSAGE,295,-0.0699175475977322,-0.5041082569929389,-5.225988335910114,-0.8028886758634601,Q4 약화,-0.34176073086357306,0.20192563566810864,-17.983594024355202,7.531617352534973
PASTA SAUCE,241,-0.0981340240955625,-0.580218808353324,-9.911874195782852,-1.198766907692154,Q4 약화,-0.42963428651066077,0.2333662383195358,-26.11792167596851,6.294173284402808
ANALGESICS,105,0.0283950811863432,0.1263693930603518,-5.090276208688824,-0.5047657077369168,Q2 방문증가·지출감소,-0.4120150353570917,0.46880519772977813,-24.855765852906224,14.675213435528576
ANTACIDS,25,-0.5688960863697704,-1.421616256062949,-39.18016764732342,-2.0088143855296625,Q4 약화,-1.3532401908559928,0.21544801811645187,-77.40825339876329,-0.9520818958835591
YOGURT,251,-0.0822388335850554,-0.6811034485565758,-6.156098416708385,-0.9247491787238366,Q4 약화,-0.3188961492517217,0.15441848208161094,-19.203909838827812,6.891713005411043
VEGETABLES - ALL OTHERS,313,-0.2031275297871373,-1.8751105801338512,-4.891079545301772,-0.9790642675634648,Q4 약화,-0.415450985588005,0.009195926013730371,-14.682587852155649,4.900428761552106
PAPER HOUSEWARES,64,0.5035679278689147,1.7188159149657862,13.535883317283508,0.8438561051932211,Q1 강화,-0.0706606035458176,1.0777964592836469,-17.903518659669565,44.975285294236585
PNT BTR/JELLY/JAMS,159,0.1925787845518065,0.8561771345945093,2.016717090422708,0.1807577008427594,Q1 강화,-0.24828140952509498,0.633438978628708,-19.851040016462637,23.884474197308055
COLD AND FLU,53,-0.2963931770535544,-0.6137317578881818,-30.195394790220252,-1.425173104105884,Q4 약화,-1.2429477907889064,0.6501614366817977,-71.72226167981226,11.331472099371755
WATER,35,-0.2490478715822247,-0.5693400325519302,12.034932525101013,0.8422108859605733,Q3 방문감소·지출증가,-1.1064157016875793,0.60831995852313,-15.972859991489944,40.042725041691966
APPLES,421,-0.1954605800666121,-2.225709915272075,-7.129252338084447,-1.5936925868760927,Q4 약화,-0.36758666635568205,-0.02333449377754218,-15.89715067538902,1.6386459992201257
